,District,health_center_name,old_name
261,Gadag ,harlapur,Harlapur
309,Gadag ,hullur,Hullur
394,Kalaburagi ,hosur,Hosur
396,Kalaburagi ,chandapura,Chandapura
409,Kalaburagi ,hosur,Hosur
423,Kalaburagi ,hullur,Hullur
427,Kalaburagi ,hasargundagi,HasarGundagi
449,Kalaburagi ,hebbal,Hebbal
503,Kalaburagi ,khanapur,Khanapur
570,Koppal ,marali,Marali
579,Koppal ,sanapura,Sanapura
585,Koppal ,basapura,Basapura
603,Koppal ,sanganal,Sanganal
628,Vijayanagara ,hosahalli,Hosahalli
677,Vijayanagara ,mangapura,Mangapura
685,Vijayanagara ,sonna,Sonna
687,Vijayanagara ,kkthanda,K K Thanda
689,Vijayanagara ,basarakodu,Basarakodu
719,Vijayanagara ,danapura,Danapura
733,Vijayanagara ,hosakote,Hosakote 
741,Vijayapura,muttagi,Muttagi
766,Vijayapura,hebbal,Hebbal
784,Vijayapura,shegunsi,Shegunsi
785,Vijayapura,ainapur,Ainapur
802,Vijayapura,alur,ALUR 
806,Vijayapura,bommanahalli,Bommanahalli 
818,Vijayapura,khanapur,Khanapur 
834,Vijayapura,umarani,UMARANI
844,Vijayapura,kuntoji,Kuntoji
849,Vijayapura,kolur,Kolur
863,Vijayapura,kadani,Kadani
873,Vijayapura,babalad,Babalad
881,Vijayapura,jambagi,Jambagi
890,Vijayapura,hullur,Hullur
896,Vijayapura,hanchinal,Hanchinal
935,Yadgir,geddalamari,Geddalamari
984,Yadgir,khanapur,KHANAPUR
996,Yadgir,allipura,Allipura
1001,Bagalkote,hosur,Hosur
1007,Bagalkote,sulla,Sulla
1024,Bagalkote,neeralkeri,Neeralkeri
1030,Bagalkote,sonna,Sonna
1053,Bidar,navadagi,Navadagi
1086,Bidar,aliyabad,Aliyabad
1098,Bidar,itga,Itga
1164,Belagavi ,gotur,Gotur
1182,Uttara Kannada,diggi,Diggi
1236,Udupi,siddapura,Siddapura
