,username,district
187,1661576155,Belagavi
224,6882673566,Dharwad
301,6344657371,Gadag
396,8241441875,Kalaburagi
409,8738457129,Kalaburagi
425,4747482158,Kalaburagi
472,2882647718,Kalaburagi
481,8481677618,Kalaburagi
485,8774826120,Kalaburagi
509,6846576814,Kalaburagi
512,8441572834,Kalaburagi
570,4665547685,Koppal
588,8753723280,Koppal
602,5414828375,Koppal
603,7217538789,Koppal
614,4376727279,Koppal
619,1211328172,Koppal
687,1115716464,Vijayanagara
701,5271447483,Vijayanagara
707,3378246668,Vijayanagara
709,1847246285,Vijayanagara
722,6715551658,Vijayanagara
724,8338185633,Vijayanagara
875,4116451610,Vijayapura
1026,8522648859,Bagalkote
1034,6443158685,Bagalkote
1036,7146587584,Bagalkote
1156,3363846662,Belagavi
1159,5645648436,Belagavi
